what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1766643613479
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1766643613479
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1766643613479
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1766643613479
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1766643613480
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1766643613480
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1766643613480
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1766643613480
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1766643613480
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1766643613480
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1766643613480
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1766643613481
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1766643613481
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1766643613481
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1766643613481
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1766643613481
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1766643613482
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1766643613482
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1766643613482
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1766643613482
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1766643613482
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1766643613483
os,sysinfo,,,"win32",1766643613484
arch,sysinfo,,,"x86",1766643613484
ws,sysinfo,,,"win32",1766643613484
locale,sysinfo,,,"en_US",1766643613484
processors,sysinfo,,,"12",1766643613484
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1766643613484
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1766643613484
java.specification.name,sysinfo,,,"Java Platform API Specification",1766643613484
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1766643613484
java.specification.version,sysinfo,,,"1.6",1766643613484
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1766643613484
java.version,sysinfo,,,"1.6.0_23",1766643613484
java.vm.info,sysinfo,,,"mixed mode",1766643613484
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1766643613484
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1766643613484
