what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644699628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766644702561
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766644705562
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766644707357
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766644707518
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766644712495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644714775
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644714950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644715624
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644717907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644721197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644723507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644724260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644727963
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1766644731224
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1766644731225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644732759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644734202
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766644734744
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1766644734757
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766644736945
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1766644737275
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1766644737279
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766644789411
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1766644789518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766644821444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766645404582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1766645405961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766645406289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1766645409175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1766645415182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766645415659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1766645415816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1766645417729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766645419216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766645454830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646181104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646887470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646892062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646893259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766646896764
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646901640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646925922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646931278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646933032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646933428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646935721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646939593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646954819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646955124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646958885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646965000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646966407
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1766646966976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646967175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766646978361
