what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834779024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834784950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834787249
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834798639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834813489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834816184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834825269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834825905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834829518
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767834904041
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767834906063
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1767834908537
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1767834908539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834911645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834913561
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767834914645
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1767834914650
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767834917195
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1767834917561
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1767834917568
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x10000020, --id=0x0, --timestamp=1767834382] return code: 16",1767834919425
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x10000020, --id=0x0, --timestamp=1767834382, /cygdrive/e/Documents2/University_Studies/UOP_Sem_7/CO502_Advanced_Embeded_Systems/Advanced_embeded_Labs/Advanced_Embeded_Lab02/software/lab_crc/lab_crc.elf] return code: 16",1767834922277
error,log,,,"Downloading ELF Process failed",1767834922278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834922309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834975617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767834981581
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835025595
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1767835025654
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1767835035533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835036454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835043199
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1767835049402
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1767835056656
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1767835056871
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1767835058196
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1767835058314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767835059450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767835059886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767835060296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767835060595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767835060998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767835061594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767835061858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835066365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835113560
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1767835249437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1767835263873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835267358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835285164
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767835285222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835287576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835287754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835288746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835290995
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835295358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835298709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835299352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835303514
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1767835312193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835313525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835315894
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767835315912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835319209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835321341
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767835322002
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767835324461
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767835324782
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x10000020, --id=0x0, --timestamp=1767834382] return code: 16",1767835326652
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x10000020, --id=0x0, --timestamp=1767834382, /cygdrive/e/Documents2/University_Studies/UOP_Sem_7/CO502_Advanced_Embeded_Systems/Advanced_embeded_Labs/Advanced_Embeded_Lab02/software/lab_crc/lab_crc.elf] return code: 16",1767835328985
error,log,,,"Downloading ELF Process failed",1767835328987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835329015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835574210
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767835586550
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1767835588610
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1767835588643
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767835590034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835609237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835624087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835627123
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835633867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835635305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835637572
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767835637584
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.v20110928-1505,"org.eclipse.ui.views.properties.tabbed",1767835637625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835642143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835827410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835829724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835838402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835842495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767835844467
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767835845236
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767835847498
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767835847827
