what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1767836134938
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767836136078
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767836145800
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767836146120
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x10000020, --id=0x0, --timestamp=1767834382] return code: 16",1767836148031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836148804
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x10000020, --id=0x0, --timestamp=1767834382, /cygdrive/e/Documents2/University_Studies/UOP_Sem_7/CO502_Advanced_Embeded_Systems/Advanced_embeded_Labs/Advanced_Embeded_Lab02/software/lab_crc/lab_crc.elf] return code: 16",1767836150526
error,log,,,"Downloading ELF Process failed",1767836150528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836194544
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767836199486
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767836199786
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --stop, --sidp=0x10000020, --id=0x0, --timestamp=1767834382] return code: 16",1767836201556
error,log,,,"Failed Executing: [nios2-download, '--cable=', --instance=-1, --go, --sidp=0x10000020, --id=0x0, --timestamp=1767834382, /cygdrive/e/Documents2/University_Studies/UOP_Sem_7/CO502_Advanced_Embeded_Systems/Advanced_embeded_Labs/Advanced_Embeded_Lab02/software/lab_crc/lab_crc.elf] return code: 16",1767836203932
error,log,,,"Downloading ELF Process failed",1767836203934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836203976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836207156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1767836217806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836222279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836327635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836330649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836429281
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767836429298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836434623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836439162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836456395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836461505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1767836461528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836463596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836474601
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1767836478937
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1767836479787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836480064
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836569615
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1767836569630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836574848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836574892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836575761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836577427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836581346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836585314
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767836585832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767836586254
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767836588341
