what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715048486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715055480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715088480
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715132587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715134662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715141995
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1766715153665
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1766715153708
error,log,,,"Internal Error",1766715154149
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766715161605
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1766715161605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1766715161665
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1766715161665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715171509
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715399959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766715401787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718043944
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766718114130
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718118193
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1766718118193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1766718118208
executed,command,,,"com.altera.sbtgui.ui.debugPerspective",1766718118209
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1766718121463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1766718121498
executed,command,,,"com.altera.sbtgui.ui.cPerspective",1766718121498
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1766718128153
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718138218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718167183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718171834
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766718191365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718195579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718247658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718252276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718292345
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766718293552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718367563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718433670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718486784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718670816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718871387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718880683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766718882017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719058329
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1766719060327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766719062284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719069822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719070797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719071393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719073975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719077878
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719092988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719093063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719096965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719098072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719148854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719150092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719175454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1766719182333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719191556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719193739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719200718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719200796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719201450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719204072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719207384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719215176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719215203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719219198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719222563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719239989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719303634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719320569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719323943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1766719334389
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1766719334412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1766719337778
